字符		标志符		行号
begin		1		1
int		2		2
x		11		2
=		18		2
4		12		2
;		26		2
int		2		3
y		11		3
=		18		3
x		11		3
*		15		3
4		12		3
+		13		3
5		12		3
-		14		3
(		27		3
8		12		3
*		15		3
2		12		3
)		28		3
;		26		3
int		2		4
z		11		4
;		26		4
z		11		5
=		18		5
x		11		5
*		15		5
(		27		5
y		11		5
+		13		5
z		11		5
)		28		5
;		26		5
int		2		6
sum		11		6
=		18		6
0		12		6
;		26		6
while		7		8
(		27		8
x		11		8
<		20		8
10		12		8
)		28		8
{		32		8
sum		11		9
=		18		9
x		11		9
*		15		9
3		12		9
;		26		9
x		11		10
++		17		10
;		26		10
}		33		11
for		5		12
(		27		12
i		11		12
=		18		12
0		12		12
;		26		12
i		11		12
<		20		12
10		12		12
;		26		12
i		11		12
=		18		12
i		11		12
+		13		12
1		12		12
)		28		12
{		32		12
sum		11		13
=		18		13
sum		11		13
+		13		13
1		12		13
;		26		13
}		33		14
return		9		15
z		11		15
;		26		15
end		10		16
