( begin          1 )
( int            2 )
( x             11 )
( =             18 )
( 4             12 )
( ;             26 )
( int            2 )
( y             11 )
( ;             26 )
( int            2 )
( z             11 )
( =             18 )
( x             11 )
( *             15 )
( y             11 )
( ;             26 )
( int            2 )
( sum           11 )
( =             18 )
( 0             12 )
( ;             26 )
( for            5 )
( (             27 )
( ;             26 )
( i             11 )
( <             20 )
( 10            12 )
( ;             26 )
( i             11 )
( ++            17 )
( )             28 )
( {             32 )
( sum           11 )
( =             18 )
( sum           11 )
( +             13 )
( i             11 )
( ;             26 )
( i             11 )
( ++            17 )
( ;             26 )
( }             33 )
( if             3 )
( (             27 )
( x             11 )
( >=            24 )
( y             11 )
( )             28 )
( {             32 )
( if             3 )
( (             27 )
( a             11 )
( >             23 )
( 1             12 )
( )             28 )
( {             32 )
( a             11 )
( =             18 )
( 1             12 )
( ;             26 )
( b             11 )
( =             18 )
( x             11 )
( *             15 )
( y             11 )
( ;             26 )
( }             33 )
( z             11 )
( =             18 )
( a             11 )
( +             13 )
( b             11 )
( *             15 )
( (             27 )
( d             11 )
( -             14 )
( 3             12 )
( )             28 )
( ;             26 )
( }             33 )
( else           4 )
( {             32 )
( z             11 )
( =             18 )
( y             11 )
( ;             26 )
( }             33 )
( if             3 )
( (             27 )
( x             11 )
( >             23 )
( 5             12 )
( )             28 )
( {             32 )
( z             11 )
( =             18 )
( 4             12 )
( ;             26 )
( }             33 )
( do             8 )
( {             32 )
( x             11 )
( =             18 )
( x             11 )
( +             13 )
( 1             12 )
( ;             26 )
( }             33 )
( while          7 )
( (             27 )
( z             11 )
( <             20 )
( 10            12 )
( )             28 )
( ;             26 )
( while          7 )
( (             27 )
( i             11 )
( <             20 )
( 10            12 )
( )             28 )
( {             32 )
( i             11 )
( =             18 )
( i             11 )
( +             13 )
( 1             12 )
( ;             26 )
( if             3 )
( (             27 )
( x             11 )
( >             23 )
( 5             12 )
( )             28 )
( {             32 )
( z             11 )
( =             18 )
( 4             12 )
( ;             26 )
( }             33 )
( }             33 )
( return         9 )
( z             11 )
( ;             26 )
( end           10 )
